"iso3","country","region","year","gdp_bn","pop_mn","exports_bn","Vote Share"
"BRA","Brazil","Americas",1995,923.7,"162.0",373.5,44.8
"BRA","Brazil","Americas",1996,871.5,"163.0",182.9,42.7
"BRA","Brazil","Americas",1997,946.6,"163.9",397.1,35
"BRA","Brazil","Americas",1998,956.7,"164.9",394,25.4
"BRA","Brazil","Americas",1999,949.7,"165.9",83.8,32.4
"BRA","Brazil","Americas",2000,884.8,"166.9",383,29
"BRA","Brazil","Americas",2001,988.5,"167.9",82.6,28.8
"BRA","Brazil","Americas",2002,996,"168.9",247.5,39.4
"BRA","Brazil","Americas",2003,1077.2,"169.9",120.3,36.4
"BRA","Brazil","Americas",2004,1069.1,"171.0",432.8,41.6
"BRA","Brazil","Americas",2005,1096.2,"172.0",122.1,30.6
"BRA","Brazil","Americas",2006,-99,"173.0",396.2,31.9
"BRA","Brazil","Americas",2007,1155.7,"174.1",421.5,38.7
"BRA","Brazil","Americas",2008,1180.9,"175.1",372.2,40.8
"BRA","Brazil","Americas",2009,1074.6,"176.2",354.5,35
"BRA","Brazil","Americas",2010,1334.3,"177.2",370.1,32.9
"BRA","Brazil","Americas",2011,1314.7,"178.3",573.2,44.1
"BRA","Brazil","Americas",2012,1317.1,"179.3",428.3,43.4
"BRA","Brazil","Americas",2013,1279,"180.4",375.5,40.7
"BRA","Brazil","Americas",2014,1408.6,"181.5",375,40.2
"BRA","Brazil","Americas",2015,1368.1,"182.6",294.3,32
"BRA","Brazil","Americas",2016,1409.7,"183.7",597,28.8
"BRA","Brazil","Americas",2017,1355,"184.8",583,45.1
"BRA","Brazil","Americas",2018,1597.5,"185.9",425.7,38.6
"BRA","Brazil","Americas",2019,1520.9,"187.0",561.2,33.9
"BRA","Brazil","Americas",2020,1705.9,"188.1",354.8,43.8
"DEU","Germany","Europe",1995,2398.9,"82.0",865.9,41.1
"DEU","Germany","Europe",1996,2237.3,"82.5",742.2,41.3
"DEU","Germany","Europe",1997,2336.2,"83.0",928.7,45.1
"DEU","Germany","Europe",1998,2500.4,"83.5",205.2,38.1
"DEU","Germany","Europe",1999,2265.1,"84.0",529.2,41.1
"DEU","Germany","Europe",2000,2378.1,"84.5",220.3,39.1
"DEU","Germany","Europe",2001,2361.1,"85.0",749.7,48
"DEU","Germany","Europe",2002,2465.6,"85.5",687.9,44.8
"DEU","Germany","Europe",2003,2481.3,"86.0",988.7,42.3
"DEU","Germany","Europe",2004,2642.7,"86.5",1167.9,49
"DEU","Germany","Europe",2005,2604.3,"87.1",232.9,43.5
"DEU","Germany","Europe",2006,2451.7,"87.6",515.5,42.5
"DEU","Germany","Europe",2007,2675.5,"88.1",715.1,44.3
"DEU","Germany","Europe",2008,2529.3,"88.6",369.7,40.8
"DEU","Germany","Europe",2009,2522.5,"89.2",380.9,43.6
"DEU","Germany","Europe",2010,2817.6,"89.7",652.2,47.6
"DEU","Germany","Europe",2011,2587.5,"90.2",383,44.3
"DEU","Germany","Europe",2012,2829.6,"90.8",1184.5,50.4
"DEU","Germany","Europe",2013,2710.2,"91.3",436.3,41.2
"DEU","Germany","Europe",2014,3075.7,"91.9",1129,43
"DEU","Germany","Europe",2015,3010.5,"92.4",955,49.4
"DEU","Germany","Europe",2016,2887.2,"93.0",1116,39
"DEU","Germany","Europe",2017,3109,"93.5",815.9,38.5
"DEU","Germany","Europe",2018,3094.3,"94.1",798.9,46.7
"DEU","Germany","Europe",2019,2896.9,"94.7",373,42.1
"DEU","Germany","Europe",2020,3082.4,"95.2",1129.8,40.1
"IDN","Indonesia","Asia",1995,238.6,"200.0",82.8,23.9
"IDN","Indonesia","Asia",1996,267.2,"..",110.7,31.3
"IDN","Indonesia","Asia",1997,264.3,"202.4",88.3,25.3
"IDN","Indonesia","Asia",1998,282,"203.6",126.2,28.2
"IDN","Indonesia","Asia",1999,280.3,"204.8",93.2,25.1
"IDN","Indonesia","Asia",2000,296.9,"206.1",40.6,30.3
"IDN","Indonesia","Asia",2001,327.8,"207.3",104,26.3
"IDN","Indonesia","Asia",2002,323.6,"208.6",72.5,30.7
"IDN","Indonesia","Asia",2003,353,"209.8",144.3,27.1
"IDN","Indonesia","Asia",2004,374.6,"211.1",92.5,37
"IDN","Indonesia","Asia",2005,384.4,"212.3",66.4,31.3
"IDN","Indonesia","Asia",2006,399.8,"213.6",77.7,22.4
"IDN","Indonesia","Asia",2007,388.8,"214.9",70.6,35.2
"IDN","Indonesia","Asia",2008,437,"..",56.4,29.9
"IDN","Indonesia","Asia",2009,423.1,"217.5",154.2,30.9
"IDN","Indonesia","Asia",2010,512.5,"218.8",113.5,36.5
"IDN","Indonesia","Asia",2011,480.9,"220.1",167.7,32.2
"IDN","Indonesia","Asia",2012,532.3,"221.4",103.5,41.3
"IDN","Indonesia","Asia",2013,566.6,"222.7*",226.9,29.3
"IDN","Indonesia","Asia",2014,-99,"224.1",197.8,32.8
"IDN","Indonesia","Asia",2015,644.9,"225.4",169.8,33.8
"IDN","Indonesia","Asia",2016,603.9,"226.8",83.5,34.8
"IDN","Indonesia","Asia",2017,673.2,"228.1",235,35.4
"IDN","Indonesia","Asia",2018,655.2,"229.5",132.1,34.1
"IDN","Indonesia","Asia",2019,799.6,"230.9",321.2,27.9
"IDN","Indonesia","Asia",2020,777.6,"232.3",202.6,31.1
"IND","India","Asia",1995,393.2,"960.0",66.4,22.5
"IND","India","Asia",1996,441.8,"965.8",69.1,20.8
"IND","India","Asia",1997,425.8,"971.6",185.5,23.9
"IND","India","Asia",1998,516.7,"977.4",134.1,20.3
"IND","India","Asia",1999,480.2,"983.2",79.8,26.8
"IND","India","Asia",2000,499.9,"989.1",163.9,24.1
"IND","India","Asia",2001,572.3,"995.1",56.6,26.1
"IND","India","Asia",2002,635.9,"1,001.1",154.7,23.6
"IND","India","Asia",2003,646.9,"1,007.1",159.6,21.8
"IND","India","Asia",2004,661.7,"1,013.1",229.1,30.4
"IND","India","Asia",2005,774.2,"1,019.2",228.3,21.9
"IND","India","Asia",2006,874.7,"1,025.3",109.2,22.7
"IND","India","Asia",2007,746.5,"1,031.4",128,22.4
"IND","India","Asia",2008,941.2,"1,037.6",394.3,33.5
"IND","India","Asia",2009,906.8,"1,043.9",124.5,25.6
"IND","India","Asia",2010,1035.7,"1,050.1",214,31.1
"IND","India","Asia",2011,956,"1,056.4",165.3,22.1
"IND","India","Asia",2012,1097.8,"1,062.8",366.4,25.2
"IND","India","Asia",2013,1125.8,"1,069.1",452.1,
"IND","India","Asia",2014,1224,"1,075.6",310.3,30
"IND","India","Asia",2015,1262.3,"1,082.0",109.3,26.3
"IND","India","Asia",2016,1441.1,"1,088.5",418.1,30.9
"IND","India","Asia",2017,-99,"1,095.0",138.5,29
"IND","India","Asia",2018,1556.7,"1,101.6",610.9,29.1
"IND","India","Asia",2019,1675.3,"1,108.2",195,37.2
"IND","India","Asia",2020,1702.3,"1,114.9",270,26.1
"JPN","Japan","Asia",1995,4729.7,"126.0",1880.1,48.7
"JPN","Japan","Asia",1996,4665.2,"126.8",935.9,49.1
"JPN","Japan","Asia",1997,4228.3,"127.5",1612.6,50.8
"JPN","Japan","Asia",1998,-99,"128.3",961.9,46.2
"JPN","Japan","Asia",1999,4381.9,"129.1",674.4,45.3
"JPN","Japan","Asia",2000,4442.9,"129.8",559.4,44.9
"JPN","Japan","Asia",2001,4385.5,"130.6",1192.1,47.1
"JPN","Japan","Asia",2002,4482.5,"131.4",1614.1,46.8
"JPN","Japan","Asia",2003,4713.5,"132.2",1656.3,43.4
"JPN","Japan","Asia",2004,4965.1,"133.0",497.1,48.3
"JPN","Japan","Asia",2005,4703,"133.8",1570.3,46.8
"JPN","Japan","Asia",2006,4863.6,"134.6",1562.9,47.4
"JPN","Japan","Asia",2007,4882.4,"135.4",1659.9,55.8
"JPN","Japan","Asia",2008,5292.1,"136.2",736.9,46.1
"JPN","Japan","Asia",2009,5641,"137.0",1658.2,43.2
"JPN","Japan","Asia",2010,4807.4,"137.8",667.3,46.1
"JPN","Japan","Asia",2011,5623.1,"138.7",1756.4,44.1
"JPN","Japan","Asia",2012,5732.4,"139.5",1552.8,42.2
"JPN","Japan","Asia",2013,5254.5,"140.3",566,43.3
"JPN","Japan","Asia",2014,5475.7,"141.2",2354.8,45.4
"JPN","Japan","Asia",2015,4838,"142.0",2146.3,48.2
"JPN","Japan","Asia",2016,5445.8,"142.9",2182.7,46.3
"JPN","Japan","Asia",2017,5218.3,"143.7",1241.4,41.3
"JPN","Japan","Asia",2018,5360.6,"144.6",745.7,44.1
"JPN","Japan","Asia",2019,5600.9,"145.5",1875.2,38.8
"JPN","Japan","Asia",2020,5783.1,"146.3",1679.8,44.2
"KOR","South Korea","Asia",1995,598.6,"45.0",67.1,34.4
"KOR","South Korea","Asia",1996,710.6,"45.3",193.4,34.9
"KOR","South Korea","Asia",1997,665.8,"45.5",141.3,43.9
"KOR","South Korea","Asia",1998,664.3,"45.8",71.2,39.3
"KOR","South Korea","Asia",1999,712.1,"46.1",261.2,40.4
"KOR","South Korea","Asia",2000,719.4,"46.4",122.3,42.4
"KOR","South Korea","Asia",2001,710.5,"46.6",203.6,38.5
"KOR","South Korea","Asia",2002,798.8,"46.9",153.5,40
"KOR","South Korea","Asia",2003,847.9,"..",257.1,38.8
"KOR","South Korea","Asia",2004,855.5,"47.5",361,39.7
"KOR","South Korea","Asia",2005,887.6,"47.8",102.5,37.1
"KOR","South Korea","Asia",2006,911.5,"48.1",168,44.5
"KOR","South Korea","Asia",2007,979.3,"48.3",327.9,44.2
"KOR","South Korea","Asia",2008,913.8,"48.6",363.7,38.2
"KOR","South Korea","Asia",2009,1071.7,"48.9",206.5,49.2
"KOR","South Korea","Asia",2010,1003.2,"49.2",151.2,40.7
"KOR","South Korea","Asia",2011,1108.1,"49.5",108.5,41
"KOR","South Korea","Asia",2012,1175.9,"49.8",499.5,36.5
"KOR","South Korea","Asia",2013,1188.1,"50.1",417.3,42.6
"KOR","South Korea","Asia",2014,1127.3,"50.4",152.9,38.6
"KOR","South Korea","Asia",2015,1266.6,"50.7",338.6,44.2
"KOR","South Korea","Asia",2016,-99,"51.0",230,43.8
"KOR","South Korea","Asia",2017,1432.1,"51.3",237.2,46.7
"KOR","South Korea","Asia",2018,1450.6,"51.6",502.2,40.6
"KOR","South Korea","Asia",2019,1511.5,"51.9",461.2,36.9
"KOR","South Korea","Asia",2020,1614,"52.3",536.9,45.4
"MEX","Mexico","Americas",1995,675.7,"92.0",61.9,38.4
"MEX","Mexico","Americas",1996,692.3,"92.6",275.6,41.9
"MEX","Mexico","Americas",1997,728,"93.1",322.5,36.3
"MEX","Mexico","Americas",1998,755.5,"93.7",68.6,39.1
"MEX","Mexico","Americas",1999,812.9,"94.2",67.8,39.3
"MEX","Mexico","Americas",2000,740.1,"94.8",287.2,35
"MEX","Mexico","Americas",2001,754.6,"95.4",235.8,30.8
"MEX","Mexico","Americas",2002,835.8,"95.9",163.4,34.7
"MEX","Mexico","Americas",2003,803.8,"96.5",186.2,37.9
"MEX","Mexico","Americas",2004,827.6,"97.1",199.1,37.9
"MEX","Mexico","Americas",2005,879.5,"97.7",109,32.2
"MEX","Mexico","Americas",2006,844,"98.3",108.7,37.1
"MEX","Mexico","Americas",2007,856.2,"98.8",267.9,33
"MEX","Mexico","Americas",2008,894,"99.4*",110.3,40.6
"MEX","Mexico","Americas",2009,905.7,"100.0*",187.1,38
"MEX","Mexico","Americas",2010,910.3,"100.6",315.9,
"MEX","Mexico","Americas",2011,1004,"101.2",428.2,40.6
"MEX","Mexico","Americas",2012,956.9,"101.8",287.4,34.4
"MEX","Mexico","Americas",2013,1003.2,"102.5",130.4,42.7
"MEX","Mexico","Americas",2014,1026.8,"103.1",212.2,35.1
"MEX","Mexico","Americas",2015,947.8,"103.7",394.7,30.5
"MEX","Mexico","Americas",2016,1079.5,"104.3",217.2,34.7
"MEX","Mexico","Americas",2017,1166.6,"104.9",399.7,37.3
"MEX","Mexico","Americas",2018,1103.1,"105.6",412.5,37.7
"MEX","Mexico","Americas",2019,1083.1,"106.2",144.9,35.1
"MEX","Mexico","Americas",2020,1226.2,"106.8",516.4,37.3
"NLD","Netherlands","Europe",1995,455.9,"15.5",108.1,44.7
"NLD","Netherlands","Europe",1996,481.5,"15.6",200,44.8
"NLD","Netherlands","Europe",1997,470.5,"15.7",69.3,44.1
"NLD","Netherlands","Europe",1998,488.1,"15.8",186.2,40.2
"NLD","Netherlands","Europe",1999,517.5,"15.9",45.7,44.9
"NLD","Netherlands","Europe",2000,505.9,"16.0",196.8,49.5
"NLD","Netherlands","Europe",2001,507.3,"16.1",223,40.7
"NLD","Netherlands","Europe",2002,489.6,"16.2",168.3,51.4
"NLD","Netherlands","Europe",2003,530.1,"16.3",227.1,47.5
"NLD","Netherlands","Europe",2004,513,"16.4",191.1,38.8
"NLD","Netherlands","Europe",2005,594,"16.5",169.7,40.8
"NLD","Netherlands","Europe",2006,551,"16.6",60.3,43
"NLD","Netherlands","Europe",2007,529.3,"16.7",57.6,43.9
"NLD","Netherlands","Europe",2008,608.2,"16.8",189.5,
"NLD","Netherlands","Europe",2009,556.8,"16.9",187.9,41.5
"NLD","Netherlands","Europe",2010,535.3,"17.0",89.6,45.4
"NLD","Netherlands","Europe",2011,559.3,"17.1",78.2,45.2
"NLD","Netherlands","Europe",2012,600.6,"17.2",119,41.4
"NLD","Netherlands","Europe",2013,596.5,"17.3",207.7,42.5
"NLD","Netherlands","Europe",2014,634.3,"17.4",279.6,41
"NLD","Netherlands","Europe",2015,623.2,"17.5",236,34.1
"NLD","Netherlands","Europe",2016,584.3,"17.6",95.4,41.8
"NLD","Netherlands","Europe",2017,642.7,"17.7",188.2,42.1
"NLD","Netherlands","Europe",2018,724.4,"17.8",90.6,44.8
"NLD","Netherlands","Europe",2019,659.6,"17.9",168.1,40.8
"NLD","Netherlands","Europe",2020,666,"18.0",162.3,46.6
"POL","Poland","Europe",1995,178.9,"38.0",71.2,
"POL","Poland","Europe",1996,202.9,"38.2",61.7,41.6
"POL","Poland","Europe",1997,185.7,"38.5",73.8,30
"POL","Poland","Europe",1998,209.3,"38.7",88.6,36.9
"POL","Poland","Europe",1999,202.6,"38.9",65.9,42.5
"POL","Poland","Europe",2000,-99,"39.2",80.5,32.4
"POL","Poland","Europe",2001,221.2,"39.4",54.6,33.8
"POL","Poland","Europe",2002,243,"39.6",72.6,33
"POL","Poland","Europe",2003,250.1,"39.9",96.4,36.3
"POL","Poland","Europe",2004,265.7,"40.1",107.2,38.3
"POL","Poland","Europe",2005,275.7,"40.3",81.2,30.2
"POL","Poland","Europe",2006,302.3,"40.6",121.8,32.6
"POL","Poland","Europe",2007,282.6,"40.8",119.5,30.8
"POL","Poland","Europe",2008,257.5,"41.1",76.1,37.6
"POL","Poland","Europe",2009,295.3,"41.3",34.5,38
"POL","Poland","Europe",2010,303,"41.6",93.3,33.8
"POL","Poland","Europe",2011,322.1,"41.8",81.3,32.8
"POL","Poland","Europe",2012,359.4,"42.1",43.4,30.8
"POL","Poland","Europe",2013,342.4,"42.3",136.9,39.9
"POL","Poland","Europe",2014,351.2,"42.6",32.1,34.2
"POL","Poland","Europe",2015,389,"42.8",66.4,40.6
"POL","Poland","Europe",2016,408,"43.1",106.7,45.9
"POL","Poland","Europe",2017,404,"43.3",38.6,43.2
"POL","Poland","Europe",2018,433.3,"43.6",151.1,34.8
"POL","Poland","Europe",2019,451.7,"43.9",155.5,42.9
